Year,Population,Growth Rate
2023,3935000,0.0186
2022,3863000,0.019
2021,3791000,0.0191
2020,3720000,0.0186
2019,3652000,0.0187
2018,3585000,0.0182
2017,3521000,0.0185
2016,3457000,0.0183
2015,3395000,0.0183
2014,3334000,0.0183
2013,3274000,0.0184
2012,3215000,0.0184
2011,3157000,0.0385
2010,3040000,0.0792
2009,2817000,0.0793
2008,2610000,0.0794
2007,2418000,0.0795
2006,2240000,0.079
2005,2076000,0.079
2004,1924000,0.0797
2003,1782000,0.0793
2002,1651000,0.0791
2001,1530000,0.0805
2000,1416000,0.0826
1999,1308000,0.0828
1998,1208000,0.0824
1997,1116000,0.0835
1996,1030000,0.0819
1995,952000,0.083
1994,879000,0.0825
1993,812000,0.0827
1992,750000,0.0838
1991,692000,0.0829
1990,639000,0.0273
1989,622000,0.0281
1988,605000,0.0289
1987,588000,0.0298
1986,571000,0.027
1985,556000,0.0296
1984,540000,0.0286
1983,525000,0.0274
1982,511000,0.022
1981,500000,0.0183
1980,491000,0.0208
1979,481000,0.0212
1978,471000,0.0195
1977,462000,0.0199
1976,453000,0.018
1975,445000,0.0137
1974,439000,0.0115
1973,434000,0.014
1972,428000,0.0118
1971,423000,0.012
1970,418000,0.0146
1969,412000,0.0123
1968,407000,0.0124
1967,402000,0.0126
1966,397000,0.0128
1965,392000,0.0129
1964,387000,0.0516
1963,368000,0.0514
1962,350000,0.0511
1961,333000,0.0505
1960,317000,0.0497
1959,302000,0.0523
1958,287000,0.0513
1957,273000,0.05
1956,260000,0.0484
1955,248000,0.0508
1954,236000,0.0536
1953,224000,0.0516
1952,213000,0.0493
1951,203000,0.0518
1950,193000,0
